English,target
the maximum tx video bitrate in kbit s .   the video quality and the number of transmitted frames per second  (  depends on selected codec )   will be dynamically adjusted above their minimum during calls to try to minimize the bandwidth to the given value ,حداکثر پهنای باند ویدیو به کیلوبایت ثانیه . کیفیت ویدیو و تعداد چارچوب های ارسال شده در ثانیه در حین مکالمات به طورپویابالاترازحداقلشان تنظیم میشوند تا سعی شود پهنای باند به اندازهی مقدار داده شده حداقل شود
local video window size ,اندازهیپنجرهیویدیوی محلی
konqueror ,konqueror
at -  spi  :    called  atspi dbus return accessible from message with strange signature  ,atspi : فراخوانیatspidbusreturnaccessiblefrommessage همراه با امضا عجیب
translator -  credits ,روزبهپورنادر میلاد زکریاالنازسربرمهیارمقیمیارش موسوی hit ( s ) onthispage
 print ,چاپ
cannot parse search expression  :      :     ,نمیتوان عبارت جستجو را تجزیه کرد : :
croatian  (  mac croatian )   ,کرواتی ( maccroatian )
 continue game ,ادامهی بازی
if you choose to keep it    programs may not be able to recognize the file type properly .   ,اگر نگهداری ان را انتخاب کنید ، برنامه ممکن است بدرستی قادر به شناسایی نوع پرونده نباشد .
the page number of the document to display .   ,شمارهی صفحهی سند که نمایشدادهشود .
recover session ,بازیابی نشست
for reading and storing local mail in external standard mbox spool files .   may also be used to read a tree of elm    pine    or mutt style folders .   ,برای خواندن و ذخیره کردن نامه های محلی در پرونده هایقرقرهیmbox استاندارد خارجی . ممکن است برای خواندن درخت پوشه هایی به سبکelm ، pine یا mutt به کار رود .
view or modify the properties of the selected bookmark ,نمایش یا تغییر ویژگی های نشانک انتخاب شده
homepage url ,نشانی اینترنتیصفحهیاغازه
the five of clubs ,پنج خاج
cannot attach cms data ,نمیتوان داده های cms را پیوست کرد
"if activated    the detailed metadata list in the properties dialog will be moved to its own page in the dialog .   this should make the dialog more usable on smaller screens    e .  g .   as used by netbooks .   if disabled    the widget will be embedded on the  ""  metadata ""   page .   ",اگر فعالشود ، فهرست جزییات فرادادهی در محاورهی ویژگی ها به صفحهی خود در محاوره منتقل خواهد شد . این کار محاوره را در صفحه نمایش های کوچکتر قابلاستفاده تر خواهد کرد ، مثلا در نتبوک ها . اگر غیر فعالباشد ویجتروی صفحهی « فراداده » جاسازی خواهد شد .
application style  (  traditional    direct    compose or fullscreen )   ,سبک برنامه ( سنتی ، مستقیم ، نوشتن یا تمام صفحه ) options
move a build of cards on to the empty tableau slot ,جابهجایی یک بنا از کارت ها به خانهی خالی تابلو
audi o project ,پروژه صوتی
not connected .   ,اتصال برقرار نیست .
 page source ,کد منبع صفحه
disable bookmark editing ,از کار انداختن ویرایش چوبالف
gnome 2 .  32  (  old stable )   ,گنوم 2 . 32 ( پایدار قدیمی )
whether or not to show the toolbar ,این که نوار ابزار نشان دادهشود یا نه
burn  now ,هماکنون بسوزان
print background i mages ,چاپتصاویرپسزمینه
lock in fullscreen mode ,قفل کردن در حالت تمامصفحه
audio output device ,دستگاه خروجی صدا
msn home screen name 2 ,نام نمایشی خانگی msn 2
movemail program failed  :     ,برنامهی movemail شکست خورد :
inches ,اینچ
horizontal gradient ,طیف افقی
preview ,پیشنمایش
room  :    ,اتاق :
estonian ,استونیایی
whether to print the page address in the header ,این که ایا نشانی صفحه در سرصفحه چاپ شود یا نه
destination folder  :    ,پوشه مقصد
westhaven ,بندر غرب
the file integrity check was performed successfully .   ,بررسی صحت پرونده ها با موفقیت انجام شد .
editor font ,قلمویرایشگر :
open in new  tabs ,باز کردن در زبانه جدید
redeal .   ,معامله دوباره .
scan the file system ,پویش سیستم پرونده
two button dynamic mode ,حالت پویای دو کلیدی
enabled ,فعال شد
md5 fingerprint  :    ,اثر انگشتmd5 :
could not rename   '     '     :      '     '     :     ,تغییر نام « » ممکن نبود : « » :
file type  :       .   it is unsafe to open    as it could potentially damage your documents or invade your privacy .   you can download it instead .   ,نوع پرونده : . nباز کردن « » امن نیست ، این نوع پرونده میتواند به طور بالقوه به نوشتارهای شما اسیب برساند یا به زندگی خصوصی شما تجاوز کند . در عوض میتوانید ان را بارگیری کنید .
match the top two cards of the waste .   ,matchthetoptwocardsofthewaste .
move  a onto the reserve .   ,انتقال a بر روی ژوکر قرمز .
the application  has crashed .   information about the crash has been successfully collected .   this application is not known to bug buddy    therefore the bug report cannot be sent to the gnome bugzilla .   please save the bug to a text file and report it to the appropriate bug tracker for this application .   ,برنامهفروپاشید . اطلاعات مربوط به فروپاشی با موفقیت جمع اوری شد . باگبادی برنامه ای را که دچار فروپاشی شده نمیشناسد ، بنابراین نمیتواند گزارش اشکال را برای باگزیلایگنومبفرستد . لطفا اشکال را در یک پروندهی متنی ذخیره کنید و ان را به محل مناسب برای گزارش اشکالات این برنامهبفرستید .
footers ,پاصفحه ها
song information ,اطلاعات اهنگ
custom messages ,پیام های دلخواه
fire flash before taking a photo ,فلش زدن قبل از گرفتن عکس
browse ,مرور
 call ,تماس
split this track every ,splittrackevery
longitude  :    ,طول جغرافیایی :
translator -  credits ,روزبهپورنادر میلاد زکریاالنازسربر
set to  blank page ,تنظیم روی صفحه خالی
nine of spades ,نه پیک
translations should be submitted as bug reports  (  see link below )   .   ,ترجمه ها باید بهعنوان یک گزارش باگ ثبتشوند ( پیوند زیر را مشاهده کنید ) .
at -  spi  :    accessibility bus not found  -   using session bus .   ,atspi : گذرگاه دسترسیپذیری قابل یافت نیست درحالاستفاده از گذرگاه نشست .
the specified contact doesn  '   t support calls ,اشنای مشخص شده از تماس پشتیبانی نمیکند
toolbar style ,سبک نوارابزار
twitter ,ارسالکننده
open a new window ,باز کردن یک پنجرهی جدید
gnome 3 .  2  (  old stable )   ,گنوم 3 . 1 ( پایدار قدیمی )
waiting for the other participant  '   s response ,در حال انتظار برای گرفتن جواب دیگر شرکت کنندگان
ca certificates file we should use was not found    all ssl sites will be considered to have a broken certificate .   ,گواهینامه هایca که باید استفاده کنیم پیدا نشدند ، تمام پایگاه هایاساسال ، با گواهینامه شکسته در نظر گرفته خواهند شد .
no match found ,هیچ مطابقتی پیدا نشد
the busy tone sound ,صدای بوق اشغال
if activated and no image is loaded in the active window    the file chooser will display the user  '   s pictures folder using the xdg special user directories .   if deactivated or the pictures folder has not been set up    it will show the current working directory .   ,اگر بهکار انداختهشود و هیچ تصویری در پنجرهی فعال بار نشده باشد ، گزینندهی پرونده با استفاده از فهرست هایکاربریویژهی میزکارهایازادپوشهیتصویر های کاربر را نشان خواهد داد . اگر از کارافتادهباشد یاپوشهیتصویر ها تنظیم نشده باشد ، شاخه کاری جاری را نمایش خواهد داد .
 left  :    ,چپ :
contact map view ,نمایشنقشهی اشنایان
dasher is a predictive text entry application ,دشر یک برنامه ورودی متن پیشگو است
translator ,مترجم
alphabet selection ,انتخاب الفبا :
no effect ,بدون جلوه
error while loading the project .   ,خطا در هنگام بارگیری پروژه .
error while accessing video device  ,خطا در باز کردن دستگاه ویدیویی
saving document to  ,در حال بار کردن نوشتار . لطفا صبر کنید
wrapped ,پیچید
saving image locally .   .   .   ,در حال ذخیره تصویر .
could not parse url   '     '    ,تجزیهینشانی اینترنتی « » ممکن نبود
download po file ,بارگیری پرونده po
audio settings ,تنظیمات صدا
gay gordons ,گی گوردن
invalid contact id ,شناسهاشناینامعتبر
group ,گروه
file name of crashed program ,نام پرونده برنامه فروپاشیده
cannot modify calendar object  :    ,نمیتوان داده های تقویم را ذخیره کرد : نشانی اینترنتی معیوب است .
 automatically connect on startup ,اتصال خودکار در هنگام راهاندازی اولیه
play a card to foundation .   ,بازی کردن یک کارت در پایه .
start the application without opening windows ,برنامه را بدون باز کردن پنجره ها اجرا کنید
type 1 ,نوع 1
enlarge the image ,بزرگ کردن تصویر
   is not a valid contact id ,شناسهاشنای « » صحیح نیست
whether empathy should reduce the location  '   s accuracy for privacy reasons .   ,اینکه امپاتی دقت مکان را به دلیل حریم خصوصی کاهش دهد یا خیر .
 horizontal layout ,چیدمان افقی
repository is offline ,مخزن منفصل است
suspend  video ,توقف ویدیو
page setup ,تنظیمات چاپ
 expand all ,باز کردن همه
unicode  (  utf -   8 )   ,یونیکد ( utf 8 )
 copy e -  mail address ,رونوشت ازادرسپستالکترونیکی
copy email address    ,رونوشت از نشانی پست الکترونیکی « »
row header ,سرسطر
you cannot create a folder in a news store  :    subscribe instead .   ,نمیتوانید در یکnewsstoreپوشه ای ایجاد کنید . در عوض مشترک انشوید .
uploaded file by %  (  name )  s on %  (  date )  s ,بارگذاریشده توسط ٪ ( name ) s در ٪ ( date ) s
gnome teletext viewer ,نمایشگرتلهتکتسگنوم
committing ,درحال ارسال
trash ,زباله دان
failed to decrypt mime part  :    protocol error ,رمزگشایی قسمت mime شکست خورد : خطای قرارداد
 -   empathy audio video client ,کارگیر صوتی تصویری امپاتی
what is your windows live password ?   ,گذرواژهیویندوز لایو شما چیست ؟
the web browser for gnome    featuring tight integration with the desktop and a simple and intuitive user interface that allows you to focus on your web pages .   ,مرورگر وب برای رومیزیگنوم ، با امکاناتی نظیر یکپارچهسازی کامل با رومیزی و یک رابط کاربری ساده و جذاب که به شما اجازه میدهد بر روی صفحات وب تمرکز کنید .
jack of diamonds ,سرباز خشت
no inactive members ,هیچ کاربر غیرفعالی وجود ندارد
front cover ,جلدجلوییdiscimage
no signature available ,ssl موجود نیست
hearts ,دل
this page is loaded over a low security connection ,این صفحه از طریق یک اتصال با امنیت کم بار شده است
real disc burning will take place in 10 seconds .   ,سوزاندن واقعی دیسک در 10 ثانیه انجام میگیرد .
 automatic orientation ,جهتیابی خودکار
all ,همه
empathy is distributed in the hope that it will be useful    but without any warranty  ;    without even the implied warranty of merchantability or fitness for a particular purpose .   see the gnu general public license for more details .   ,امپاتی به این امید توزیع میشود که کار ایی لازم را داشته باشد ، ولی هیچ تضمینی نمیدهد . حتی تضمین ضمنی برای کار امدی یا مناسب بودن برای یک کاربرد خاص . برای اطلاعات بیشتر مجوز gpl را ملاحظهنمایید .
 grayscale ,سایهی خاکستری
korean  (   iso -  2022 -  kr )   ,کره ای ( iso2022kr )
pause outside of canvas ,مکث بیرون پنجره
defines how the session will be restored during startup .   allowed values are   '   always  '     (  the previous state of the application is always restored )        '   crashed  '     (  the session is only restored if the application crashes )   and   '   never  '     (  the homepage is always shown )   .   ,نحوهی بازنشانینشست درهنگام شروع را مشخص میکند . مقادیر ممکن عبارتند از « always » ( حالت قبلی برنامه همیشه بازنشانی میشود ) ، « crashed » ( تنها زمانی که برنامهفروبپاشدبازنشانیصورت میگیرد ) و « never » ( صفحهی خانگی همیشه نمایش دادهشود ) .
j ,سcardsymbol
move  a onto the seven of clubs .   ,انتقال a بر روی هفتخاج .
messaging and voip accounts ,حساب های پیامرسانی و voip
colors info menu ,منو اطلاعات رنگ ها
cyrillic  (   koi8 -  r )   ,سیریلی ( koi8r )
font for text with fixed width    such as code examples .   ,قلم برای متن با پهنای ثابت ، مثل کدهای مثال .
set the directory where to store temporary files ,تنظیم شاخه ای که پرونده های موقت بر روی ان ذخیره میشود
go to a specified location ,رفتن به یک مکان مشخص
the currently selected fonts language ,زبان قلم هایی که در حال حاضر انتخاب شدهاند
cogl debugging flags to unset ,پرچم هایاشکالزداییکوگل جهت خارج کردن از تنظیم
search in  :    ,جستجو در :
cannot create cms message ,نمیتوان پیغامcms را ایجاد کرد
recover previous documents ?   ,بازخوانی نوشتار
emergency calls are not supported on this protocol ,تماس های اضطراری بر روی این پروتکل پشتیبانی نمیشوند
about freecell solitaire ,بازی یکنفرهیفریسل
"you need a passphrase to unlock the key for user  :     ""   ""   ",برای باز کردن کلید کاربر یک اسم شب لازم است : « »
this page was loading when the web browser closed unexpectedly .  this might happen again if you reload the page .   if it does    please report the problem to the  developers .   ,هنگامیکه مرورگروب ناگهان بسته شد ، این صفحه در حال بارگیری بود . بارگذاری مجدد صفحه ممکن است این مسیله را دوباره تکرار کند . اگر این اتفاق دوباره افتاد ، لطفا به برنامهنویسان گزارش دهید .
source code ,کد منبع
place the eight of spades next to the seven of spades .   ,قراردادن هشت پیک در کنار هفت پیک .
error while setting the frame rate .   ,خطا هنگام تنظیماهنگچارچوب ها .
there are no songs to write to disc ,هیچاهنگی برای نوشتن درون دیسک وجود ندارد
comment  :    ,توضیح :
 toolbar ,نوار ابزار
"it was not possible to automatically trust  ""   ""   .   it is possible that someone is intercepting your communication to obtain your confidential information .   ",امکان اینکه به طور خودکار به « » اعتماد شود وجود نداشت . این امکان وجود دارد که کسی مخفیانه به ارتباط شما گوش دهد تا اطلاعات محرمانهی شما را بهدستاورد .
sha1 fingerprint  :    ,اثر انگشتsha1 :
cannot create calendar object  :    ,نمیتوان داده های تقویم را ذخیره کرد : نشانی اینترنتی معیوب است .
 disable ,غیرفعالکردن
prints debug messages in the console  (  level between 1 and 8 )   ,پیغام هایاشکالزدایی را در پیشانه چاپ میکند ( سطح بین 1 تا 6 )
what is your aim screen name ?   ,نام روی صفحهی شما در aim چیست ؟
translator -  credits ,روزبهپورنادر میلاد زکریاالنازسربرمهیارمقیمیارش موسوی
14th ,چهاردهم
scan cycles ,دوره های پایش
generating preview  :    page  of  ,در حال چاپ صفحهی از
move  a onto an empty top slot .   ,جابهجایی a به یک جایگاه بالایی خالی .
galeon konqueror bookmarks ,چوبالف هایgaleonkonqueror
single card deals ,کارتگیری سه تایی
no    i want a new account ,خیر ، حساب جدیدی میخواهم
place the five of spades next to the four of spades .   ,انتقال a بر روی چهار پیک .
show toolbars by default ,نشان دادن نوارهای ابزار به صورت پیشفرض
remove the four of diamonds .   ,حذف ده خشت .
copy image address    ,نسخهبرداری از نشانی تصویر « »
remove completed    canceled and failed file transfers from the list ,انتقال های کامل شده ، لغو شده و خراب شده از فهرست حذف شوند
7 ,7cardsymbol
congratulations    you have won   ,تبریک ، شما بردید
there are some missing files from potfiles .  in  :     ,تعدادی پروندهی در موجود نیست :
yahoo   home screen name 1 ,نام نمایشی خانگی yahoo 1
 yes ,بله
 address  :    ,نشانی :
 backup certificate ,تهیه پشتیبان گواهی
one suit ,یک خال
openid  :    ,openid :
export bookmarks to a file ,صدور نشانک ها به یک پرونده
open the bookmarks window ,باز کردن پنجرهینشانک ها
when enabled    each page will be printed on the same size paper as the document page .   ,وقتی فعال باشد ، هر صفحه بر روی کاغذی با هماناندازهی صفحهی سند چاپ خواهد شد .
a dd contact ,تماس با ا شنا
forwarding ,ارجاع تماس
changes the visibility of the toolbar in the current window ,حالت مریی بودن یا نبودن نوار ابزار در پنجره فعلی را تغییر میدهد
getting message  of  ,در حال دریافت پیغام از
activity summary for   '   %  (  lang )  s  '    ,خلاصه فعالیت برای « ٪ ( lang ) s »
invalid query ,ارگوماننامعتبر
"you should only connect to the site if you are certain you are connected to  ""   ""   .   ",تنها در صورتی به پایگاه متصل شوید که مطمینید به « » متصل هستید .
tableau ,تابلوslottype
save ,ذخیره
whether to play a sound to notify of contacts logging into the network .   ,اینکه برای اطلاع دادن از ورود اشناها به شبکه ، صدایی پخش شود یا خیر .
scanning mode ,حالت پایش
digest -  md5 ,digestmd5
top contacts ,اشناهای برتر
create a data cd dvd ,ساخت یک سیدی دیویدی اطلاعات
cannot create pixbuf image   ,ایجاد تصویر pixbuf ممکن نیست
directory to use for temporary files ,شاخه ای جهت استفاده برای پرونده های موقت
language  :    undefined ,زبان : تعریف نشده
converting video file to mpeg2 ,تبدیل پرونده های ویدیویی به mpeg2
video format ,قالب ویدیو
inbox ,دریافتی
place the six of clubs next to the five of clubs .   ,انتقال a بر روی پنجخاج .
move a card from the reserve onto the empty tableau slot ,انتقال یک کارت از ذخیره به خانهی خالی تابلو
save a copy of the current document ,ذخیرهی یک رونوشت از سند فعلی
unable to open document ,باز کردن نوشتار ممکن نیست
your new account has not been saved yet .   ,حساب جدید شما هنوز ذخیره نشده است .
 report ,دوربری
gurmukhi ,گورماخی
behavior ,رفتار
select the format for video cameras  (  does not apply to most usb cameras )   ,قالب دوربینویدیو را انتخاب کنید ( شامل بیشتر دوربین های usb نمیشود )
automatically detect  .   .   .   character encodings bar simplified chinese ,چینی سادهشده bar
all supported types ,همه انواع پشتیبانی شده
show api documentation for the word at the cursor ,نمایش مستندات api برای کلمه مشخص شده توسط مکاننما
   could not be found .   ,نمیتوان « » را پیدا کرد .
enable switch scanning ,فعالسازیپایش تعویضی
no error message ,پیغام خطایی وجود ندارد
select fonts for bar baltic ,بالتیک bar
permission denied ,اجازه داده نشد
c reate ,ایجاد
 edit font ,قلم ویرایش
 on reserve ,یکذخیرهیخالیstockslothint
password ,گذرواژه
the attachment could not be saved .   ,نمیتوان این پرونده را به عنوان « » ذخیره کرد .
make the current document fill the window width ,نوشتار فعلی عرض پنجره را پر کند
load the given session file ,بار کردن پروندهی نشست دادهشده
size of the extended video window ,اندازهیپنجرهیویدیوی دوردست
stop  recording ,توقف ضبط
automatically detect  .   .   .   character encodings bar universal ,جهانی bar
card themes  :    ,بازی های کارتی :
style  :    ,سبک :
xmp exif ,xmpexif
default  :   mm ,default : mm
consistency is key ,استوار بودن کلید است
place the eight of hearts next to the seven of hearts .   ,انتقال a بر روی هفت دل .
there are currently no translation teams in gnome .     :    (   ,در حال حاضر هیچ گروه ترجمه ای در گنوم وجود ندارد . : (
finnish ,فنلاندی
call window ,دلیل پایان تماس
table ,جدول
place the jack of spades next to the ten of spades .   ,قراردادن سرباز پیک در کنار ده پیک .
move  a onto an empty edge slot .   ,جابهجایی a به یک جایگاه زاویه ای خالی .
authentication failed .   ,تایید هویت شکستخورد .
analysing files ,تحلیل پرونده ها
place the five of clubs next to the four of clubs .   ,انتقال a بر روی چهارخاج .
the three of clubs ,سه خاج
error launching system settings  :    ,خطا در اجرای تنظیمات سیستم :
menu item ,مورد منو
please add files .   ,لطفا پرونده هایی اضافه کنید .
 copy ,نسخهبرداری
could not create pipe  :     ,ایجاد لوله ممکن نبود :
update bookmark ?   ,بههنگامسازیچوبالف ؟
hebrew  (   machebrew )   ,عبری ( machebrew )
copying messages ,در حال نسخهبرداری از پیغام ها
alias ,نام مستعار
 edit stylesheet  ;    ,ویرایش برگه سبک
11th ,یازدهم
show properties for this bookmark ,نشان دادن ویژگی های این چوبالف ها
details  :     ,جزییات :
31st ,سی و یکم
20th ,بیستم
text only ,کدگذاری متن
signer  :       :     ,امضا کننده : :
move  a onto the six of spades .   ,انتقال a بر روی شش پیک .
determines how transparency should be indicated .   valid values are check pattern    color and none .   if color is chosen    then the trans -  color key determines the color value used .   ,تعیین میکند شفافیت چطور مشخص شود . مقادیر معتبر عبارتاند ازcheckpattern ، colorو none . اگر color انتخاب شود ، کلیدtranscolor مقدار رنگ مورد استفاده را تعیین میکند .
recently played games ,بازی های بهتازگی بازی شده
color for transparent areas ,رنگ نواحی شفاف
move  a onto the three of diamonds .   ,انتقال a بر روی سه خشت .
move ri ght ,انتقال به راست
 -   disk usage analyzer ,تحلیلگر فضای مصرفی دیسک
send a link of the current page ,فرستادن پیوندی از صفحهی فعلی
"receiving  ""   ""   from  ",در حال دریافت « » از
email address  :    ,ادرس هایپست هایالکترونیکی :
the specified contact is offline ,اشنای انتخاب شده برونخط است
incoming call ,در حال دریافت تماس
trust new certificate authority ?   ,به صلاحیت گواهی جدید اعتماد شود ؟
p review ,پیشنمایشdiscimage
add contact ,ا شنا
manage favorites ,مدیریت علاقهمندی ها
 georgian  (  geostd8 )   ,گرجی ( geostd8 )
the bookmark information shown in the editor view ,اطلاعات چوبالف که در نمای ویرایشگر نمایش داده میشود
 copy link address ,رونوشت از نشانی پیوند
reloading document from  ,در حال بار کردن مجدد سند از
custom ,سفارشی
use a custom background color ,استفاده از یک رنگپسزمینهی سفارشی
host ,میزبان
 replace ,جایگزینی
start a new instance instead of reusing an existing one ,اغاز یک نمونهی جدید بجای استفاده از نمونهی موجود
place the nine of spades next to the eight of spades .   ,انتقال a بر روی هشت پیک .
the chosen sound will be played at the end of calls or calling somebody who is busy    if enabled ,در صورت به کار انداخته شدن ، صدای انتخاب شده در پایان تماس ها یا هنگام تماس با کسی که مشغول است پخش خواهد شد
maximum video  bitrate of ,حداکثر پهنای باند
malay ,مالایی
allow sites to open new windows using javascript  (  if javascript is enabled )   .   ,اجازهدادن به سایت ها برای باز کردن پنجره ها باجاوااسکریپت ( اگرجاوااسکریپت فعال باشد ) .
failed to copy the tmp file ,تایید هویت شکستخورد .
mail delivery via the sendmail program ,ارسال نامه از طریق برنامهی sendmail
could not display help for eye of gnome ,نمایش راهنمای چشمگنوم ممکن نبود
could not connect to remote host ,اتصال به میزبان دوردست ممکن نشد
scan f older ,پویش پوشه
phone number  :    ,شمارهی تلفن :
remove the selected toolbar ,حذف نوار ابزار انتخاب شده
this resource is already connected to the server ,این منبع پیشاپیش به کارگزار متصل شده است
remote uri  :    ,نشانی اینترنتی دوردست :
minutes ,دقیقه
empathy internet messaging ,پیامرسان اینترنتی امپاتی
repository offline ,مخزن منفصل است
outgoing calls ,تماس خروجی
accessible table summary ,خلاصهی جدول دسترسیپذیری
streamable content not implemented ,محتویات جریانپذیر پیاده نشده است
unable to parse xml -  rpc response  ,نمیتوان پاسخxmlrpc را تجزیه کرد
"you already have a bookmark titled  ""   ""   for this page .   ",چوبالفی به عنوان « » از قبل برای این صفحه موجود است .
this is the ekiga general configuration assistant .   the following steps will set up ekiga by asking a few simple questions .   once you have completed these steps    you can always change them later by selecting preferences in the edit menu .   ,ایندروییدپیکربندیعمومی gnomemeeting است . در چند صفحهی بعد با پاسخ به چند سوال ساده ، gnomemeetingپیکربندی خواهد شد . پس از تکمیل این صفحات ، بعدا میتوانید انها را با انتخاب ترجیحات در منوی ویرایش تغییر دهید .
failed to save document    ,ذخیرهی سند « » شکست خورد
download link ,بارگیری پیوند
zoom  out ,زوم به خارج
image type  :    ,نوع تصویر
change your password ,گذرواژه خود را تغییر دهید
disable unsafe protocols ,از کار انداختن قراردادهای ناامن
set a horizontal layout ,تنظیم یک چیدمان افقی
chat  ;   talk  ;   im  ;   message  ;   irc  ;   voip  ;   gtalk  ;   facebook  ;   jabber  ;    ,chat ؛ talk ؛ im ؛ message ؛ irc ؛ voip ؛ gtalk ؛ facebook ؛ jabber ؛ گپ ؛ گفتگو ؛ پیامرسان ؛ پیام ؛ فیسبوک ؛
open link in new  window ,باز کردن پیوند در پنجره جدید
p lugins ,ا فزونه ها
place windows displaying video above other windows during calls ,قرار دادن پنجره های نمایشدهندهیویدیو روی همهی پنجره های دیگر در حین تماس ها
deal a new card from the deck ,گرفتن یک کارت جدید از دستهی ورق
failed to initialize device  for capability probing ,مقداردهی اولیه دستگاه برای قابلیت کاوش شکست خورد
previous conversations ,مکالمه های قبلی
centre circle ,دایره مرکزی دو مستطیل
enter password ,گذرواژه را وارد کنید
on hold ,نگه داشتن پشت خط
eight off ,هشت خاموش
rotate  right ,چرخش به راست
error sending message  :     ,خطا در فرستان پیام :
magic number used to check if sanity cleaning tasks should be run ,عدد جادویی برای بررسی وضعیت پاکسازی جهت اجرا
 create cover ,ساخت جلد
yesterday ,دیروز
go to  parent folder ,انتقال بهپوشهی والد
the incoming call sound ,صدای تماس دریافتی
other ,غیره
four ,چهار
certificate already exists .   ,گواهی هم اکنون هم موجود است .
" ""   ""   expects the first argument to be an iso 8601 date time string ",« » انتظار دارد ارگومان اول یک رشتهی تاریخ زمانiso8601باشد
certificate  fields ,فیلدهای گواهی
a simple    clean    beautiful view of the web ,یک نمای ساده ، تمیز و زبا از وب . قدرتگرفته از وبکیت
undo the last state change ,برگرداندن اخرین تغییر فعالیت
burning  (  s )  vcd ,درحالسوزاندن ( اس ) ویسیدی
% 1$ s was banned by % 2$ s ,فرد ٪ 1 $ s توسط ٪ 2 $ s تحریم شد
cancelled ,صرف نظر شد
take a photo ,یک عکس بگیرید
 tools ,نوار ابزار
7th ,هفتم
move  a onto the eight of diamonds .   ,انتقال a بر روی هشت خشت .
 view ,نمایش
whether to use the theme for chat rooms .   ,این که از تم برای اتاق های گپ استفاده شود یا خیر .
western  (   iso -  8859 -  1 )   ,غربی ( iso8859 1 )
empathy can publish the user  '   s location ,امپاتی میتواند مکان کاربر را منتشر کند
cookie accept ,پذیرش کوکی
millimeters ,میلیمتر
call retrieved ,تماس رد شد
gnome web browser ,مرورگروب گنوم
eye of gnome could not determine a supported writable file format based on the filename .   ,چشمگنوم نتوانست براساس نام پرونده ، قالب قابل نوشتن پشتیبانی شده ای را تعیینکند .
scroll bar ,نوار لغزش
copy cd dvd ,رونوشت سیدی دیویدی
disable camera and stop sending video ,دوربین از کار بیافتد و فرستادن ویدیو متوقف شود
maximum distance when keyboard is hidden ,حداکثر فاصله در هنگامیکه صفحهکلید مخفی است
please wait while a new private key is generated .   this process could take a few minutes .   ,لطفا تا زمانی که کلید خصوصی تولید میشود صبر کنید . این فراروند ممکن است چند دقیقه ای طول بکشد .
time after which to automatically increase speed  (  secs )   ,زمانی که بعد از انسرعت خودکار کمشود ( ثانیه )
advanced settings ,تنظیمات پیشرفته
prefere nces ,ترجیحات
indonesian ,اندونزیایی
syncing messages in folder   '     '    to disk ,در حالهمگامسازیپیغام هایپوشهی « » در دیسک
image brightness ,روشنایی عکس
calls ,تماس ها
 previous image ,تصویر قبلی
five of clubs ,پنج خاج
sites ,پایگاه ها
invalid server version ,نشانی اینترنتی کارگزار نامعتبر
recent documents ,باز کردن سند
contact list sort criterion ,معیارهای مرتبسازی فهرست اشناها
show hide the window toolbar .   ,نشان دادن پنهان کردن نوار ابزار پنجره
today   :     ,friendlytimeyesterday 12 : 34 am
height  :    ,ارتفاع :
enter text without a keyboard ,وارد کردن متن بدون صفحه کلید
view help for this game ,نمایش راهنمای این بازی
place the seven of hearts next to the six of hearts .   ,انتقال a بر روی شش دل .
encryption error ,خطای رمزنگاری
password not found ,گذرواژه یافت نشد
hebrew ,عبری
the ip address of the multicast group ,ادرسip مربوط به گروهچندگانهencodingvideocodec
find previous occurrence of the search string ,پیدا کردن مورد بعدی وقوع کلمه یا عبارت
messaging and voip accounts assistant ,دستیار حساب هایپیامرسانو voip
six foundations ,شش پایه
unable to open help file ,ناتوان در باز کردن پروندهی راهنما
your current balance is  .   ,اعتبار فعلی شما .
blanking ,درحال خالی کردن
web is free software  ;    you can redistribute it and or modify it under the terms of the gnu general public license as published by the free software foundation  ;    either version 2 of the license    or  (  at your option )   any later version .   ,مرورگروب ، نرمافزار ازاد است ؛ شما میتوانید ان را تحت شرایط اجازهنامهی همگانی عمومی گنو ، که بنیاد نرمافزارهای ازاد منتشر کرده است ، تغییر دهید ، یا دوباره توزیع کنید . یا نسخهی 2 اجازهنامه یا ( به اختیار خودتان ) هر نسخهی بالاتر دیگری .
" ""   ""   cannot be unlocked ",قفل « » نمیتواند باز باشد
remote host not found ,میزبان دوردست منفصل است
could not create folder summary for  ,بار کردن خلاصهی ممکن نبود
msn home screen name 3 ,نام نمایشی خانگی msn 3
remove the queen of spades .   ,حذف ده پیک .
the page at  wants to know your location .   ,صفحهی میخواهد مکان شما را بداند .
"comma -  separated list of spell checker languages to use  (  e .  g .    ""  en    fr    nl ""   )   .   ",فهرست زبان ها جهتغلطیابیاملایی ، جدا شده با ویرگول ( مثال : « en ، fr ، nl » ) .
not authenticated ,تایید هویت شکستخورد .
19th ,نوزدهم
fit page  width ,جا دادن در عرض صفحه
about damned lies ,درباره دروغ های ملعون
copy image address   '     '    ,نسخهبرداری از نشانی تصویر « »
place the queen of clubs next to the jack of clubs .   ,انتقال a بر روی سرباز خاج .
please set it manually ,لطفا به صورت دستی تنظیم کنید
parcel ,بسته
average drive speed  :    ,سرعت متوسط دیسکگردان :
dtmf transmission ,به کار انداختن ارسال ویدیو
path ,path
error deleting folder ,در حال ذخیرهسازی پوشه
invalid server data ,راهنمای تلفن کاربران نامعتبر
debug window ,پنجره اشکالزدایی
administrators of  ,مدیر
stand -  alone ,مستقل
