English,Persian
 is free software  ;    you can redistribute it and or modify it under the terms of the gnu general public license as published by the free software foundation  ;    either version  of the license    or  (  at your option )   any later version .   ,نرمافزار ازاد است ؛ شما میتوانید ان را تحت شرایط اجازهنامهی همگانی عمومی گنو که بنیاد نرمافزارهای ازاد منتشر کرده است ، تغییر دهید یا دوباره توزیع کنید . یا نسخهیاجازهنامه یا ( به اختیار خودتان ) هر نسخهی بالاتر دیگری .
 is distributed in the hope that it will be useful    but without any warranty  ;    without even the implied warranty of merchantability or fitness for a particular purpose .   see the gnu general public license for more details .   ,با این امید توزیع شده است که به درد بخور باشد ، اما بدون هر گونهضمانتی ؛ حتی بدون ضمانت ضمنی قابل فروش بودن یا مناسب بودن برای یک هدف مشخص . برای جزییات بیشتر بهاجازهنامهی همگانی عمومی گنو را ببینید .
you should have received a copy of the gnu general public license along with this program .   if not    see  .   ,شما باید به همراه ناتیلوس نسخه ای از اجازهنامهی همگانی عمومی گنو دریافت کردهباشد ؛ اگر این طور نیست برای شرکت بنیاد نرمافزارهای ازادبه ادرس زیر بنویسید : inc . ، 51 franklinstreet ، fifthfloor ، boston ، ma021101301usaslottype
foundation ,پایهslottype
reserve ,ذخیرهslottype
stock ,موجودیslottype
tableau ,تابلوslottype
waste ,باقیماندهfoundationslothint
 on foundation ,درپایهreserveslothint
 on reserve ,درذخیرهstockslothint
 on stock ,در موجودیtableauslothint
 on tableau ,درتابلوwasteslothint
 on waste ,در باقیمانده
this game does not have hint support yet .   ,این بازی هنوز پشتیبانی راهنمایی ندارد .
move  onto  .   ,حرکت به .
this game is unable to provide a hint .   ,این بازی قادر به ارایهی راهنمایی نیست .
accordion ,اکاردیون
agnes ,اگنس
athena ,اتنا
auld lang syne ,اولدلنگ سین
aunt mary ,عمه ماری
backbone ,بکبن
bakers dozen ,دوجین بیکر
bakers game ,بازی بیکر
bear river ,رودخانه خرس
beleaguered castle ,قلعهی محاصره شده
block ten ,بلوک ده
bristol ,بریستول
camelot ,کملات
canfield ,کنفیلد
carpet ,فرش
chessboard ,صفحه شطرنج
clock ,ساعت
cover ,جانشین
cruel ,خبیس
diamond mine ,معدن الماس
doublets ,دوبله
eagle wing ,بال عقاب
easthaven ,بندر شرق
eight off ,هشت خاموش
elevator ,اسانسور
eliminator ,نابودگر
escalator ,بالابر
first law ,قانون اول
fortress ,دژ
fortunes ,طالع
forty thieves ,چهل دزد
fourteen ,چهارده
freecell ,فری سل
gaps ,شکاف
gay gordons ,گی گوردن
giant ,غول
glenwood ,گلنوود
gold mine ,معدن طلا
golf ,گلف
gypsy ,کولی
helsinki ,هلسینکی
hopscotch ,هاپاسکاچ
isabel ,ایزابل
jamestown ,جیمزتاون
jumbo ,جامبو
kansas ,کانزاس
king albert ,شاه البرت
kings audience ,شنوندگان شاه
klondike ,کلاندایک
klondike three decks ,کلاندایک سه دست
labyrinth ,کلاف سر در گم
lady jane ,بانو جین
maze ,ماز
monte carlo ,مونت کارلو
napoleons tomb ,قبر ناپلیون
neighbor ,همسایه
odessa ,ادسا
osmosis ,اسمز
peek ,دید زدن
pileon ,دسته کردن
plait ,بافتن
poker ,پوکر
quatorze ,کویاتورز
royal east ,شرق باشکوه
saratoga ,ساراتوگا
scorpion ,عقرب
scuffle ,اسکافل
seahaven ,بندر دریا
sir tommy ,اقای تامی
sol ,خورشید
spider ,عنکبوت
spider three decks ,عنکبوت سه دست
spiderette ,اسپایدرت
straight up ,مستقیم بالا
streets and alleys ,خیابان ها و کوچه ها
template ,شابلون
ten across ,ده در عرض
terrace ,تراس
thieves ,دزدها
thirteen ,سیزده
thumb and pouch ,شصت و کیسه
treize ,تریز
triple peaks ,پیک های سهگانه
union square ,میدان اتحاد
valentine ,ولنتاین
westhaven ,بندر غرب
whitehead ,سر سفید
will o the wisp ,willothewisp
yield ,ییلد
yukon ,یوکان
zebra ,گورخرcardsymbol
joker ,ژوکرcardsymbol
a ,اcardsymbol
2 ,2cardsymbol
3 ,3cardsymbol
4 ,4cardsymbol
5 ,5cardsymbol
6 ,6cardsymbol
7 ,7cardsymbol
8 ,8cardsymbol
9 ,9cardsymbol
j ,سcardsymbol
q ,بcardsymbol
k ,شcardsymbol
ace of clubs ,اسخاج
two of clubs ,دو خاج
three of clubs ,سه خاج
four of clubs ,چهار خاج
five of clubs ,پنج خاج
six of clubs ,شش خاج
seven of clubs ,هفت خاج
eight of clubs ,هشت خاج
nine of clubs ,نه خاج
ten of clubs ,ده خاج
jack of clubs ,سرباز خاج
queen of clubs ,بیبی خاج
king of clubs ,شاه خاج
ace of diamonds ,اس خشت
two of diamonds ,دو خشت
three of diamonds ,سه خشت
four of diamonds ,چهار خشت
five of diamonds ,پنج خشت
six of diamonds ,شش خشت
seven of diamonds ,هفت خشت
eight of diamonds ,هشت خشت
nine of diamonds ,نه خشت
ten of diamonds ,ده خشت
jack of diamonds ,سرباز خشت
queen of diamonds ,بیبی خشت
king of diamonds ,شاه خشت
ace of hearts ,اس دل
two of hearts ,دو دل
three of hearts ,سه دل
four of hearts ,چهار دل
five of hearts ,پنج دل
six of hearts ,شش دل
seven of hearts ,هفت دل
eight of hearts ,هشت دل
nine of hearts ,نه دل
ten of hearts ,ده دل
jack of hearts ,سرباز دل
queen of hearts ,بیبی دل
king of hearts ,شاه دل
ace of spades ,اس پیک
two of spades ,دو پیک
three of spades ,سه پیک
four of spades ,چهار پیک
five of spades ,پنج پیک
six of spades ,شش پیک
seven of spades ,هفت پیک
eight of spades ,هشت پیک
nine of spades ,نه پیک
ten of spades ,ده پیک
jack of spades ,سرباز پیک
queen of spades ,بیبی پیک
king of spades ,شاه پیک
face -  down card ,کارت نامعلوم
black joker ,ژوکر سیاه
red joker ,ژوکر قرمز
help file   .    not found ,پرونده راهنما « . » پیدا نشد
could not show help for    ,نمیتوان راهنما را برای « » نمایش داد
whether the window is maximized ,اینکه ایاپنجرهبیشینه است یا خیر
whether the window is fullscreen ,اینکه ایاپنجرهتمامصفحه است یا خیر
window width ,عرض پنجره
window height ,ارتفاع پنجره
solitaire ,بازی یک نفره
gnome solitaire ,بازی یکنفره گنوم
about solitaire ,درباره بازی یک نفره
select the game type to play ,یک نوع بازی برای بازیکردن انتخاب کنید
name ,نام
freecell solitaire ,بازی یکنفرهیفریسل
aisleriot ,ایلرایت
wins  :    ,بردها
total  :    ,مجموع
percentage  :    ,درصد :
wins ,بردها
best  :    ,بهترین :
worst  :    ,بدترین :
time ,زمان
n a ,مربوط نیست
  :   % 02d ,: 02d
congratulations    you have won   ,تبریک ، شما بردید
there are no more moves ,دیگر نمیشود حرکتی کرد
main game  :    ,بازی اصلی :
card games  :    ,بازی های کارتی :
card themes  :    ,تم های کارت :
aisleriot provides a rule -  based solitaire card engine that allows many different games to be played .   ,ایلرایت یک موتور قانونی برای کارت بازی یک نفره ارایه میکند که انجام بازی های متفاوتی را ممکن میسازد .
translator -  credits ,ارش موسوی روزبهپورنادربهدادپورنادرالنازسربر میلاد زکریا
gnome games web site ,پایگاه وب بازی های گنوم
play    ,بازی کردن « »
display cards with    card theme ,نمایش کارت ها با تم « »
a scheme exception occurred ,یک استثنا شما رخ داد .
please report this bug to the developers .   ,لطفا این اشکال را به توسعهدهندگان اطلاعدهید .
 don  '   t report ,گزارش نکن
 report ,گزارش
 game ,بازی
 view ,نما
 control ,کنترل
 help ,راهنما
start a new game ,شروع بازی جدید
restart the game ,شروع مجدد بازی
 select game ,انتخاب بازی
play a different game ,انجام یک بازی دیگر
 recently played ,بهتازگی بازی شده
s tatistics ,ا مار
show gameplay statistics ,نمایش امار بازی
close this window ,بستن این پنجره
undo the last move ,برگرداندن اخرین حرکت
redo the undone move ,دوبارهی حرکت برگردان
deal next card or cards ,معامله کارت یا کارت های بعدی
get a hint for your next move ,گرفتن راهنمایی برای حرکت بعدیتان
view help for aisleriot ,نمایش راهنمای ایلرایت
view help for this game ,نمایش راهنمای این بازی
about this game ,دربارهی این بازی
install card themes ,نصب تم کارت ها
install new card themes from the distribution packages repositories ,از مخازن بسته های توزیع برای نصبتم های جدید کارت استفاده کنید
 card style ,سبک کارت
 toolbar ,نوار ابزار
show or hide the toolbar ,نشان دادن یا مخفی کردن نوار ابزار
 statusbar ,نوار وضعیت
show or hide statusbar ,نمایش یا مخفی کردن نواروضعیت
 click to move ,برای حرکت جابهجایی کلیک کنید
pick up and drop cards by clicking ,با کلیک کردن کارت ها را بکشید و بردارید
 sound ,صدا
whether or not to play event sounds ,این که صدای رویدادها پخش شود یا نه
 animations ,پویانمایی ها
whether or not to animate card moves ,این که حرکت هایکارت هاپویانماییشود یا خیر
score  :    ,امتیاز :
time  :    ,زمان :
cannot start the game    ,نمیتوان بازی « » را شروع کردن
aisleriot cannot find the last game you played .   ,نمیتوان اخرین بازی انجام شده را پیدا کرد .
this usually occurs when you run an older version of aisleriot which does not have the game you last played .   the default game    klondike    is being started instead .   ,این اتفاق غالبا زمانی رخ میدهد که شما از نسخهی قدیمی ایلرایت استفاده میکند و بازی ایکه اخرینبار ان را انجام داده اید در ان نبوده . بازی پیشفرض ، کلاندایک ، به جای ان شروع میشود .
base card  :     a ,کارت پایه : a
base card  :    ace ,کارت پایه : اس
base card  :    jack ,کارت پایه : سرباز
base card  :    queen ,کارت پایه : بیبی
base card  :    king ,کارت پایه : شاه
stock left  :    ,موجودی باقیمانده :
stock left  :    0 ,موجودی باقیمانده : 0
deal more cards ,پخش کارت های بیشتر
try rearranging the cards ,بازاراییکارت ها را امتحان کنید .
unknown color ,رنگ نامعلوم
the black joker ,ژوکر سیاه
the red joker ,ژوکر قرمز
the ace of clubs ,اسخاج
the two of clubs ,دو خاج
the three of clubs ,سه خاج
the four of clubs ,چهار خاج
the five of clubs ,پنج خاج
the six of clubs ,شش خاج
the seven of clubs ,هفت خاج
the eight of clubs ,هشت خاج
the nine of clubs ,نه خاج
the ten of clubs ,ده خاج
the jack of clubs ,سرباز خاج
the queen of clubs ,بیبی خاج
the king of clubs ,شاه خاج
the unknown card ,کارت نامعلوم
the ace of spades ,اس پیک
the two of spades ,دو پیک
the three of spades ,سه پیک
the four of spades ,چهار پیک
the five of spades ,پنج پیک
the six of spades ,شش پیک
the seven of spades ,هفت پیک
the eight of spades ,هشت پیک
the nine of spades ,نه پیک
the ten of spades ,ده پیک
the jack of spades ,سرباز پیک
the queen of spades ,بیبی پیک
the king of spades ,شاه پیک
the ace of hearts ,اس دل
the two of hearts ,دو دل
the three of hearts ,سه دل
the four of hearts ,چهار دل
the five of hearts ,پنج دل
the six of hearts ,شش دل
the seven of hearts ,هفت دل
the eight of hearts ,هشت دل
the nine of hearts ,نه دل
the ten of hearts ,ده دل
the jack of hearts ,سرباز دل
the queen of hearts ,بیبی دل
the king of hearts ,شاه دل
the ace of diamonds ,اس خشت
the two of diamonds ,دو خشت
the three of diamonds ,سه خشت
the four of diamonds ,چهار خشت
the five of diamonds ,پنج خشت
the six of diamonds ,شش خشت
the seven of diamonds ,هفت خشت
the eight of diamonds ,هشت خشت
the nine of diamonds ,نه خشت
the ten of diamonds ,ده خشت
the jack of diamonds ,سرباز خشت
the queen of diamonds ,بیبی خشت
the king of diamonds ,شاه خشت
move  a onto the foundation .   ,انتقال a به پایه
move  a onto an empty foundation slot .   ,انتقال a به یک پایهی خالی .
move  a onto the tableau .   ,انتقال a بر روی تابلو .
move  a onto an empty tableau slot .   ,انتقال a بر روی یک خانه خالی تابلو .
move  a onto the reserve .   ,انتقال a بر روی ذخیره .
move  a onto an empty reserve slot .   ,جابهجایی a به یک جایگاه ذخیره خالی .
move  a onto an empty edge slot .   ,جابهجایی a به یک جایگاه زاویه ای خالی .
move  a onto an empty corner slot .   ,جابهجایی a به یک جایگاه گوشه خالی .
move  a onto an empty top slot .   ,جابهجایی a به یک جایگاه بالایی خالی .
move  a onto an empty bottom slot .   ,جابهجایی a به یک جایگاه پایینی خالی .
move  a onto an empty left slot .   ,جابهجایی a به یک جایگاه چپ خالی .
move  a onto an empty right slot .   ,جابهجایی a به یک جایگاه راست خالی .
move  a onto an empty slot .   ,انتقال a بر روی یک خانه خالی .
move  a onto the black joker .   ,انتقال a بر روی ژوکرسیاه .
move  a onto the red joker .   ,انتقال a بر روی ژوکر قرمز .
move  a onto the ace of clubs .   ,انتقال a بر رویاسخاج .
move  a onto the two of clubs .   ,انتقال a بر روی دوخاج .
move  a onto the three of clubs .   ,انتقال a بر روی سهخاج .
move  a onto the four of clubs .   ,انتقال a بر روی چهارخاج .
move  a onto the five of clubs .   ,انتقال a بر روی پنجخاج .
move  a onto the six of clubs .   ,انتقال a بر روی ششخاج .
move  a onto the seven of clubs .   ,انتقال a بر روی هفتخاج .
move  a onto the eight of clubs .   ,انتقال a بر روی هشتخاج .
move  a onto the nine of clubs .   ,انتقال a بر روی نهخاج .
move  a onto the ten of clubs .   ,انتقال a بر روی دهخاج .
move  a onto the jack of clubs .   ,انتقال a بر روی سرباز خاج .
move  a onto the queen of clubs .   ,انتقال a بر روی بیبیخاج .
move  a onto the king of clubs .   ,انتقال a بر روی شاهخاج .
move  a onto the unknown card .   ,انتقال a بر روی کارت ناشناس .
move  a onto the ace of spades .   ,انتقال a بر روی اس پیک .
move  a onto the two of spades .   ,انتقال a بر روی دو پیک .
move  a onto the three of spades .   ,انتقال a بر روی سه پیک .
move  a onto the four of spades .   ,انتقال a بر روی چهار پیک .
move  a onto the five of spades .   ,انتقال a بر روی پنج پیک .
move  a onto the six of spades .   ,انتقال a بر روی شش پیک .
move  a onto the seven of spades .   ,انتقال a بر روی هفت پیک .
move  a onto the eight of spades .   ,انتقال a بر روی هشت پیک .
move  a onto the nine of spades .   ,انتقال a بر روی نه پیک .
move  a onto the ten of spades .   ,انتقال a بر روی ده پیک .
move  a onto the jack of spades .   ,انتقال a بر روی سرباز پیک .
move  a onto the queen of spades .   ,انتقال a بر روی بیبی پیک .
move  a onto the king of spades .   ,انتقال a بر روی شاه پیک .
move  a onto the ace of hearts .   ,انتقال a بر روی اس دل .
move  a onto the two of hearts .   ,انتقال a بر روی دو دل .
move  a onto the three of hearts .   ,انتقال a بر روی سه دل .
move  a onto the four of hearts .   ,انتقال a بر روی چهار دل .
move  a onto the five of hearts .   ,انتقال a بر روی پنج دل .
move  a onto the six of hearts .   ,انتقال a بر روی شش دل .
move  a onto the seven of hearts .   ,انتقال a بر روی هفت دل .
move  a onto the eight of hearts .   ,انتقال a بر روی هشت دل .
move  a onto the nine of hearts .   ,انتقال a بر روی نه دل .
move  a onto the ten of hearts .   ,انتقال a بر روی ده دل .
move  a onto the jack of hearts .   ,انتقال a بر روی سرباز دل .
move  a onto the queen of hearts .   ,انتقال a بر روی بیبی دل .
move  a onto the king of hearts .   ,انتقال a بر روی شاه دل .
move  a onto the ace of diamonds .   ,انتقال a بر روی اس خشت .
move  a onto the two of diamonds .   ,انتقال a بر روی دو خشت .
move  a onto the three of diamonds .   ,انتقال a بر روی سه خشت .
move  a onto the four of diamonds .   ,انتقال a بر روی چهار خشت .
move  a onto the five of diamonds .   ,انتقال a بر روی پنج خشت .
move  a onto the six of diamonds .   ,انتقال a بر روی شش خشت .
move  a onto the seven of diamonds .   ,انتقال a بر روی هفت خشت .
move  a onto the eight of diamonds .   ,انتقال a بر روی هشت خشت .
move  a onto the nine of diamonds .   ,انتقال a بر روی نه خشت .
move  a onto the ten of diamonds .   ,انتقال a بر روی ده خشت .
move  a onto the jack of diamonds .   ,انتقال a بر روی سرباز خشت .
move  a onto the queen of diamonds .   ,انتقال a بر روی بیبی خشت .
move  a onto the king of diamonds .   ,انتقال a بر روی شاه خشت .
remove the black joker .   ,ژوکر سیاه
remove the red joker .   ,ژوکر قرمز
remove the ace of clubs .   ,حذف دهخاج .
remove the two of clubs .   ,حذف دهخاج .
remove the three of clubs .   ,حذف دهخاج .
remove the four of clubs .   ,حذف دهخاج .
remove the five of clubs .   ,حذف دهخاج .
remove the six of clubs .   ,حذف شاهخاج .
remove the seven of clubs .   ,حذف دهخاج .
remove the eight of clubs .   ,حذف شاهخاج .
remove the nine of clubs .   ,حذف شاهخاج .
remove the ten of clubs .   ,حذف دهخاج .
remove the jack of clubs .   ,حذف شاهخاج .
remove the queen of clubs .   ,حذف دهخاج .
remove the king of clubs .   ,حذف شاهخاج .
remove the unknown card .   ,کارت نامعلوم
remove the ace of spades .   ,حذف ده پیک .
remove the two of spades .   ,حذف ده پیک .
remove the three of spades .   ,حذف ده پیک .
remove the four of spades .   ,حذف ده پیک .
remove the five of spades .   ,حذف ده پیک .
remove the six of spades .   ,حذف شاه پیک .
remove the seven of spades .   ,حذف ده پیک .
remove the eight of spades .   ,حذف شاه پیک .
remove the nine of spades .   ,حذف شاه پیک .
remove the ten of spades .   ,حذف ده پیک .
remove the jack of spades .   ,حذف شاه پیک .
remove the queen of spades .   ,حذف ده پیک .
remove the king of spades .   ,حذف شاه پیک .
remove the ace of hearts .   ,حذف ده دل .
remove the two of hearts .   ,حذف ده دل .
remove the three of hearts .   ,حذف ده دل .
remove the four of hearts .   ,حذف ده دل .
remove the five of hearts .   ,حذف ده دل .
remove the six of hearts .   ,حذف شاه دل .
remove the seven of hearts .   ,حذف ده دل .
remove the eight of hearts .   ,حذف شاه دل .
remove the nine of hearts .   ,حذف شاه دل .
remove the ten of hearts .   ,حذف ده دل .
remove the jack of hearts .   ,حذف شاه دل .
remove the queen of hearts .   ,حذف ده دل .
remove the king of hearts .   ,حذف شاه دل .
remove the ace of diamonds .   ,حذف ده خشت .
remove the two of diamonds .   ,حذف ده خشت .
remove the three of diamonds .   ,حذف ده خشت .
remove the four of diamonds .   ,حذف ده خشت .
remove the five of diamonds .   ,حذف ده خشت .
remove the six of diamonds .   ,حذف شاه خشت .
remove the seven of diamonds .   ,حذف ده خشت .
remove the eight of diamonds .   ,حذف شاه خشت .
remove the nine of diamonds .   ,حذف شاه خشت .
remove the ten of diamonds .   ,حذف ده خشت .
remove the jack of diamonds .   ,حذف شاه خشت .
remove the queen of diamonds .   ,حذف ده خشت .
remove the king of diamonds .   ,حذف شاه خشت .
three card deals ,کارتگیری سه تایی
deal another round ,پخش دور دیگر کارت ها
redeals left  :    ,دوباره گرفتن های باقیمانده :
deal a new card from the deck ,گرفتن یک کارت جدید از دستهی ورق
base card  :    ,کارت پایه :
move something onto an empty right -  hand tableau slot ,انتقال چیزی به خانهی خالی تابلو دست راستی
reserve left  :    ,جاهای باقیمانده :
move waste back to stock ,جابهجایی باقیمانده به موجودی
move a card to the foundation ,انتقال یک کارت به پایه
move something into the empty tableau slot ,انتقال چیزی به خانهی خالی تابلو
just because a crosswalk looks like a hopscotch board doesn  '   t mean it is one ,هر گردی گردو نمیشه
look both ways before you cross the street ,قبل از عبور از خیابان هر دو طرف را نگاه کنید
have you read the help file ?   ,ایاپروندهی راهنما را خوانده اید ؟
odessa is a better game .   really .   ,ادسا بازی بهتری است . جدا .
tourniquets are not recommended unless in the direst emergency ,بستن کمربند ایمنی هنگام رانندگی حافظ جان شماست
i could sure use a backrub right about now .   .   .   ,حالا ماساژ خیلی میچسبید
monitors won  '   t give you vitamin d  -   -   but sunlight will .   .   .   ,نمایشگر به شما ویتامین دی نخواهد رساند ولی نور افتاب چرا
if you  '   re ever lost and alone in the woods    hug a tree ,اگر یک وقت توی جنگلی گم شدید و تنها بودید ، یک درخت را بغل کنید
fishing wire makes bad dental floss ,بخوری زمین هوا میری
consistency is key ,استوار بودن کلید است
when without a stapler    a staple and a ruler will work ,لنگشکن دادا
never blow in a dog  '   s ear ,هیچوقت در گوش سگ ها فوت نکنید
cards remaining  :     a ,کارت های باقیمانده : a
redeal .   ,معامله دوباره .
you are searching for an ace .   ,شما به دنبال یک اس میگردید .
you are searching for a two .   ,شما به دنبال یک دو میگردید .
you are searching for a three .   ,شما به دنبال یک سه میگردید .
you are searching for a four .   ,شما دنبال یک چهار میگردید .
you are searching for a five .   ,شما دنبال یک پنج میگردید .
you are searching for a six .   ,شما به دنبال یک شش میگردید .
you are searching for a seven .   ,شما به دنبال یک هفت میگردید .
you are searching for an eight .   ,شما به دنبال یک هشت میگردید .
you are searching for a nine .   ,شما به دنبال یک نه میگردید .
you are searching for a ten .   ,شما به دنبال یک ده میگردید .
you are searching for a jack .   ,شما به دنبال یک سرباز میگردید .
you are searching for a queen .   ,شما به دنبال یک بیبی میگردید .
you are searching for a king .   ,شما به دنبال یک شاه میگردید .
unknown value ,مقدار نامعلوم
deal a card ,گرفتن یک کارت
move a king onto an empty tableau slot .   ,انتقال شاه بر روی یک خانه خالی تابلو .
no hint available right now ,در این لحظههیچراهنمایی ای موجود نیست
move something on to an empty reserve ,چیزی را به یک جای خالی منتقل کنید
six foundations ,شش پایه
five foundations ,پنج پایه
four foundations ,چهار پایه
play a card to foundation .   ,بازی کردن یک کارت در پایه .
no moves .   ,بدون حرکت .
remove the aces ,حذف اس ها
remove the twos ,حذف دوها
remove the threes ,حذف سه ها
remove the fours ,حذف چهارها
remove the fives ,حذف پنج ها
remove the sixes ,حذف شش ها
remove the sevens ,حذف هفت ها
remove the eights ,حذف هشت ها
remove the nines ,حذف نه ها
remove the tens ,حذف ده ها
remove the jacks ,حذف سربازها
remove the queens ,حذف بیبی ها
remove the kings ,حذف شاه ها
i  '   m not sure ,مطمین نیستم
return cards to stock ,برگرداندن کارت ها به موجودی
move something onto an empty tableau slot .   ,انتقال چیزی به خانهی خالی تابلو .
consider moving something into an empty slot ,انتقال چیزی به یک خانهی خالی را در نظر بگیرید
deal a card from stock ,معاملهی یک کارت از موجودی
no moves are possible .   undo or start again .   ,هیچ حرکتی ممکن نیست . دوباره شروع کنید یا حرکات را برگردان کنید .
the game has no solution .   undo or start again .   ,بازی راهحلی ندارد . حرکات را برگردان یا دوباره شروع کنید .
double click any card to redeal .   ,برای معماملهی مجدد روی هر کارت دوبارکلیککنید .
no hint available .   ,راهنمایی ای وجود ندارد .
place a two in the leftmost slot of row  a .   ,قراردادن یک دو در اخرین فضای سمت چپ ردیف a .
add to the sequence in row  a .   ,اضافه کردن به دنباله در ردیف a .
place the two of clubs next to the ace of clubs .   ,قراردادن دو خاج در کنار اسخاج .
place the three of clubs next to the two of clubs .   ,قراردادن سهخاج در کنار دوخاج .
place the four of clubs next to the three of clubs .   ,قراردادن چهارخاج در کنار سهخاج .
place the five of clubs next to the four of clubs .   ,قراردادن پنجخاج در کنار چهارخاج .
place the six of clubs next to the five of clubs .   ,قراردادن ششخاج در کنار پنجخاج .
place the seven of clubs next to the six of clubs .   ,قراردادن هفتخاج در کنار ششخاج .
place the eight of clubs next to the seven of clubs .   ,قراردادن هشتخاج در کنار هفتخاج .
place the nine of clubs next to the eight of clubs .   ,قراردادن نهخاج در کنار هشتخاج .
place the ten of clubs next to the nine of clubs .   ,قراردادن دهخاج در کنار نهخاج .
place the jack of clubs next to the ten of clubs .   ,قراردادن سرباز خاج در کنار دهخاج .
place the queen of clubs next to the jack of clubs .   ,قراردادنبیبیخاج در کنار سرباز خاج .
place the king of clubs next to the queen of clubs .   ,قراردادنشاهخاج در کنار بیبیخاج .
place the two of spades next to the ace of spades .   ,قراردادن دو پیک در کنار اس پیک .
place the three of spades next to the two of spades .   ,قراردادن سه پیک در کنار دو پیک .
place the four of spades next to the three of spades .   ,قراردادن چهار پیک در کنار سه پیک .
place the five of spades next to the four of spades .   ,قراردادن پنج پیک در کنار چهار پیک .
place the six of spades next to the five of spades .   ,قراردادن شش پیک در کنار پنج پیک .
place the seven of spades next to the six of spades .   ,قراردادن هفت پیک در کنار شش پیک .
place the eight of spades next to the seven of spades .   ,قراردادن هشت پیک در کنار هفت پیک .
place the nine of spades next to the eight of spades .   ,قراردادن نه پیک در کنار هشت پیک .
place the ten of spades next to the nine of spades .   ,قراردادن ده پیک در کنار نه پیک .
place the jack of spades next to the ten of spades .   ,قراردادن سرباز پیک در کنار ده پیک .
place the queen of spades next to the jack of spades .   ,قراردادن بیبی پیک در کنار سرباز پیک .
place the king of spades next to the queen of spades .   ,قراردادن شاه پیک در کنار بیبی پیک .
place the two of hearts next to the ace of hearts .   ,قراردادن دو دل در کنار اس دل .
place the three of hearts next to the two of hearts .   ,قراردادن سه دل در کنار دو دل .
place the four of hearts next to the three of hearts .   ,قراردادن چهار دل در کنار سه دل .
place the five of hearts next to the four of hearts .   ,قراردادن پنج دل در کنارچهار دل .
place the six of hearts next to the five of hearts .   ,قراردادن شش دل در کنار پنج دل .
place the seven of hearts next to the six of hearts .   ,قراردادن هفت دل در کنار شش دل .
place the eight of hearts next to the seven of hearts .   ,قراردادن هشت دل در کنار هفت دل .
place the nine of hearts next to the eight of hearts .   ,قراردادن نه دل در کنار هشت دل .
place the ten of hearts next to the nine of hearts .   ,قراردادن ده دل در کنار نه دل .
place the jack of hearts next to the ten of hearts .   ,قراردادن سرباز دل در کنار ده دل .
place the queen of hearts next to the jack of hearts .   ,قراردادن بیبی دل در کنار سرباز دل .
