English,Persian
"People
","مردم
"
"Personal
","شخصی
"
"Pictures
","تصاویر
"
"Plan
","طرح
"
"Presentation
","نمایش
"
"Sales
","فروش
"
"Sound
","صدا
"
"Trash
","زباله‌دان
"
"Favorite
","محبوب
"
"Important
","مهم
"
"Mail
","نامه
"
"Package
","بسته
"
"No read
","نخواندنی
"
"Urgent
","فوری
"
"Web
","وب
"
"OK
","تأیید
"
"Art
","هنر
"
"Camera
","دوربین
"
"Certified
","تأییدشده
"
"Cool
","باحال
"
"Danger
","خطر
"
"Desktop
","رومیزی
"
"Distinguished
","برجسته
"
"Draft
","پیش‌نویس
"
"Handshake
","دست دادن
"
"Marketing
","بازاریابی
"
"Money
","پول
"
"Multimedia
","چندرسانه‌ای
"
"Note
","یادداشت
"
"Oh no!
","وای نه!
"
"People
","مردم
"
"Personal
","شخصی
"
"Pictures
","تصاویر
"
"Plan
","طرح
"
"Presentation
","نمایش
"
"Sales
","فروش
"
"Sound
","صدا
"
"Trash
","زباله‌دان
"
"Default GNOME Theme
","تم پیش‌فرض گنوم
"
"GNOME
","گنوم
"
"Favorite
","محبوب
"
"Important
","مهم
"
"Mail
","نامه
"
"Package
","بسته
"
"No read
","نخواندنی
"
"Urgent
","فوری
"
"Web
","وب
"
"AisleRiot Solitaire
","بازی با ورق تک نفره‌‌ی AisleRiot
"
"Play many different solitaire games
","بازی‌های مختلف یک نفره بازی کنید
"
"solitaire;cards;klondike;spider;freecell;patience;
","تک نفره;کارت;کلوندایک;اسپایدر;فری سل;صبر;
"
"Theme file name
","نام پرونده‌ی تم
"
"The name of the file with the graphics for the cards.
","نام پرونده‌ی گرافیک کارت‌ها.
"
"Whether or not to show the toolbar
","این که نوار ابزار نشان داده شود یا نه
"
"Whether or not to show the status bar
","این که نوار وضعیت نشان داده شود یا نه
"
"Select the style of control
","انتخاب سبک کنترل
"
"Select whether to drag the cards or to click on the source then the destination.
","انتخاب این که کارت‌ها کشیده شوند یا این که اول روی مبداء و بعد روی مقصد کلیک شود
"
"Sound
","صدا
"
"Whether or not to play event sounds.
","این که صدای رویدادهای پخش شود یا نه.
"
"Animations
","پویانمایی‌ها
"
"Whether or not to animate card moves.
","اینکه از پویانمایی در حرکت کارتها استفاده شود یا نه.
"
"The game file to use
","پرونده‌ی بازی مورد استفاده
"
"The name of the scheme file containing the solitaire game to play.
","نام پرونده‌ی شِمای حاوی بازی‌های یک نفره برای بازی.
"
"Statistics of games played
","آمار بازی‌های انجام شده
"
"A list of strings that come in the form of a quintuple: name, wins, total games played, best time (in seconds) and worst time (also in seconds). Unplayed games do not need to be represented.
","فهرستی از رشته‌ها که به شکل پنج‌تایی هستند: نام، بردها، ‌مجموع بازی‌های انجام شده، بهترین زمان (به ثانیه) و بدترین زمان (آن هم به ثانیه). باز‌‌ی‌های بازی نشده نمایش داده نمی‌شوند.
"
"Recently played games
","بازی‌های به‌تازگی بازی شده
"
"A list of recently played games.
","یک فهرست از بازی‌های به‌تازگی بازی شده.
"
"New Game
","بازی جدید
"
"Change Game
","تغییر بازی
"
"Statistics
","آمار
"
"Fullscreen
","تمام صفحه
"
"Help
","راهنما
"
"About Aisleriot
","درباره اِیل‌رایِت
"
"Quit
","خروج
"
"Select Game
","انتخاب بازی
"
"_Select
","_انتخاب
"
"_Contents
","م_حتویات
"
"_Fullscreen
","تمام _صفحه
"
"_Hint
","_راهنمایی_New"" is for the menu item 'Game->New', implies ""New Game
"
"_New
","_جدید_New Game
"
"_New Game
","بازی _جدید
"
"_Redo Move
","ا_نجام مجدد حرکتReset
"
"_Reset
","_راه‌اندازی مجدد_Restart"" is the menu item 'Game->Restart', implies ""Restart Game
"
"_Restart
","_شروع مجدد
"
"_Undo Move
","_برگردان حرکت
"
"_Deal
","_معامله
"
"_Leave Fullscreen
","تر_ک حالت تمام‌صفحه
"
"_Pause
","_مکث
"
"%s is free software; you can redistribute it and/or modify it under the terms of the GNU General Public License as published by the Free Software Foundation; either version %d of the License, or (at your option) any later version.
","%s نرم‌افزار آزاد است؛ شما می‌توانید آن را تحت شرایط اجازه‌نامه‌ی همگانی عمومی گنو که بنیاد نرم‌افزارهای آزاد منتشر کرده است،‌ تغییر دهید یا دوباره توزیع کنید. یا نسخه‌ی %d اجازه‌نامه یا (به اختیار خودتان) هر نسخه‌ی بالاتر دیگری.
"
"%s is distributed in the hope that it will be useful, but WITHOUT ANY WARRANTY; without even the implied warranty of MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE. See the GNU General Public License for more details.
","%s با این امید توزیع شده است که به درد بخور باشد، اما بدون هر گونه ضمانتی؛ حتی بدون ضمانت ضمنی قابل فروش بودن یا مناسب بودن برای یک هدف مشخص. برای جزئیات بیشتر به اجازه‌نامه‌ی همگانی عمومی گنو را ببینید.
"
"You should have received a copy of the GNU General Public License along with this program. If not, see .
","شما باید به همراه ناتیلوس نسخه‌ای از اجازه‌نامه‌ی همگانی عمومی گنو دریافت کرده باشد؛ اگر این طور نیست برای شرکت بنیاد نرم افزارهای آزاد به آدرس زیر بنویسید:Inc., 51 Franklin Street, Fifth Floor, Boston, MA 02110-1301 USAslot type
"
"foundation
","پایهslot type
"
"reserve
","ذخیرهslot type
"
"stock
","موجودیslot type
"
"tableau
","تابلوslot type
"
"waste
","باقی‌ماندهfoundationslot hint
"
"%s on foundation
","%s در پایهreserveslot hint
"
"%s on reserve
","%s در ذخیرهstockslot hint
"
"%s on stock
","%s در موجودی tableauslot hint
"
"%s on tableau
","%s در تابلوwasteslot hint
"
"%s on waste
","%s در باقی‌مانده
"
"This game does not have hint support yet.
","این بازی هنوز پشتیبانی راهنمایی ندارد.
"
"Move %s onto %s.
","حرکت %s به %s.
"
"This game is unable to provide a hint.
","این بازی قادر به ارائه‌ی راهنمایی نیست.
"
"Accordion
","آکاردئون
"
"Agnes
","اَگنِس
"
"Athena
","آتنا
"
"Auld Lang Syne
","اولد لَنگ سین
"
"Aunt Mary
","عمه ماری
"
"Backbone
","بَک بُن
"
"Bakers Dozen
","دوجین بِیکر
"
"Bakers Game
","بازی بِیکر
"
"Bear River
","رودخانه خرس
"
"Beleaguered Castle
","قلعه‌ی محاصره شده
"
"Block Ten
","بلوک ده
"
"Bristol
","بریستول
"
"Camelot
","کَمِلات
"
"Canfield
","کَنفیلد
"
"Carpet
","فرش
"
"Chessboard
","صفحه شطرنج
"
"Clock
","ساعت
"
"Cover
","جانشین
"
"Cruel
","خبیس
"
"Diamond Mine
","معدن الماس
"
"Doublets
","دوبله
"
"Eagle Wing
","بال عقاب
"
"Easthaven
","بندر شرق
"
"Eight Off
","هشت خاموش
"
"Elevator
","آسانسور
"
"Eliminator
","نابودگر
"
"Escalator
","بالابر
"
"First Law
","قانون اول
"
"Fortress
","دژ
"
"Fortunes
","طالع
"
"Forty Thieves
","چهل دزد
"
"Fourteen
","چهارده
"
"Freecell
","فری سِل
"
"Gaps
","شکاف
"
"Gay Gordons
","گِی گوردن
"
"Giant
","غول
"
"Glenwood
","گلِن‌وود
"
"Gold Mine
","معدن طلا
"
"Golf
","گلف
"
"Gypsy
","کولی
"
"Helsinki
","هلسینکی
"
"Hopscotch
","هاپ‌اسکاچ
"
"Isabel
","ایزابل
"
"Jamestown
","جیمز‌تاون
"
"Jumbo
","جامبو
"
"Kansas
","کانزاس
"
"King Albert
","شاه آلبرت
"
"Kings Audience
","شنوندگان شاه
"
"Klondike
","کلاندایک
"
"Klondike Three Decks
","کلاندایک سه دست
"
"Labyrinth
","کلاف سر در گم
"
"Lady Jane
","بانو جِین
"
"Maze
","ماز
"
"Monte Carlo
","مونت کارلو
"
"Napoleons Tomb
","قبر ناپلئون
"
"Neighbor
","همسایه
"
"Odessa
","اُدسا
"
"Osmosis
","اُسمز
"
"Peek
","دید زدن
"
"Pileon
","دسته کردن
"
"Plait
","بافتن
"
"Poker
","پوکر
"
"Quatorze
","کوئاتورز
"
"Royal East
","شرق باشکوه
"
"Saratoga
","ساراتوگا
"
"Scorpion
","عقرب
"
"Scuffle
","اسکافل
"
"Seahaven
","بندر دریا
"
"Sir Tommy
","آقای تامی
"
"Sol
","خورشید
"
"Spider
","عنکبوت
"
"Spider Three Decks
","عنکبوت سه دست
"
"Spiderette
","اسپایدرت
"
"Straight Up
","مستقیم بالا
"
"Streets And Alleys
","خیابان‌ها و کوچه‌ها
"
"Template
","شابلون
"
"Ten Across
","ده در عرض
"
"Terrace
","تراس
"
"Thieves
","دزدها
"
"Thirteen
","سیزده
"
"Thumb And Pouch
","شصت و کیسه
"
"Treize
","تریز
"
"Triple Peaks
","پیک‌های سه‌گانه
"
"Union Square
","میدان اتحاد
"
"Valentine
","ولنتاین
"
"Westhaven
","بندر غرب
"
"Whitehead
","سر سفید
"
"Will O The Wisp
","Will O The Wisp
"
"Yield
","ییلد
"
"Yukon
","یوکان
"
"Zebra
","گورخرcard symbol
"
"JOKER
","ژوکرcard symbol
"
"A
","آcard symbol
"
"2
","۲card symbol
"
"3
","۳card symbol
"
"4
","۴card symbol
"
"5
","۵card symbol
"
"6
","۶card symbol
"
"7
","۷card symbol
"
"8
","۸card symbol
"
"9
","۹card symbol
"
"J
","سcard symbol
"
"Q
","بcard symbol
"
"K
","شcard symbol
"
"1
","۱
"
"ace of clubs
","آس خاج
"
"two of clubs
","دو خاج
"
"three of clubs
","سه خاج
"
"four of clubs
","چهار خاج
"
"five of clubs
","پنج خاج
"
"six of clubs
","شش خاج
"
"seven of clubs
","هفت خاج
"
"eight of clubs
","هشت خاج
"
"nine of clubs
","نه خاج
"
"ten of clubs
","ده خاج
"
"jack of clubs
","سرباز خاج
"
"queen of clubs
","بی‌بی خاج
"
"king of clubs
","شاه خاج
"
"ace of diamonds
","آس خشت
"
"two of diamonds
","دو خشت
"
"three of diamonds
","سه خشت
"
"four of diamonds
","چهار خشت
"
"five of diamonds
","پنج خشت
"
"six of diamonds
","شش خشت
"
"seven of diamonds
","هفت خشت
"
"eight of diamonds
","هشت خشت
"
"nine of diamonds
","نه خشت
"
"ten of diamonds
","ده خشت
"
"jack of diamonds
","سرباز خشت
"
"queen of diamonds
","بی‌بی خشت
"
"king of diamonds
","شاه خشت
"
"ace of hearts
","آس دل
"
"two of hearts
","دو دل
"
"three of hearts
","سه دل
"
"four of hearts
","چهار دل
"
"five of hearts
","پنج دل
"
"six of hearts
","شش دل
"
"seven of hearts
","هفت دل
"
"eight of hearts
","هشت دل
"
"nine of hearts
","نه دل
"
"ten of hearts
","ده دل
"
"jack of hearts
","سرباز دل
"
"queen of hearts
","بی‌بی دل
"
"king of hearts
","شاه دل
"
"ace of spades
","آس پیک
"
"two of spades
","دو پیک
"
"three of spades
","سه پیک
"
"four of spades
","چهار پیک
"
"five of spades
","پنج پیک
"
"six of spades
","شش پیک
"
"seven of spades
","هفت پیک
"
"eight of spades
","هشت پیک
"
"nine of spades
","نه پیک
"
"ten of spades
","ده پیک
"
"jack of spades
","سرباز پیک
"
"queen of spades
","بی‌بی پیک
"
"king of spades
","شاه پیک
"
"face-down card
","کارت نامعلوم
"
"black joker
","ژوکر سیاه
"
"red joker
","ژوکر قرمز
"
"Help file “%s.%s” not found
","پرونده راهنما «%s.%s» پیدا نشد
"
"Could not show help for “%s”
","نمی‌توان راهنما را برای «%s» نمایش داد
"
"Whether the window is maximized
","اینکه آیا پنجره بیشینه است یا خیر
"
"Whether the window is fullscreen
","اینکه آیا پنجره تمام‌صفحه است یا خیر
"
"Window width
","عرض پنجره
"
"Window height
","ارتفاع پنجره
"
"Solitaire
","بازی یک نفره
"
"GNOME Solitaire
","بازی یک نفره گنوم
"
"About Solitaire
","درباره بازی یک نفره
"
"Select the game type to play
","یک نوع بازی برای بازی‌کردن انتخاب کنید
"
"NAME
","نام
"
"FreeCell Solitaire
","بازی یک نفره‌ی فری‌سل
"
"AisleRiot
","اِیل‌رایِت
"
"Wins:
","بردها
"
"Total:
","مجموع
"
"Percentage:
","درصد:
"
"Wins
","بردها
"
"Best:
","بهترین:
"
"Worst:
","بدترین:
"
"Time
","زمان%Id%d
"
"%d
","%Id%d"" in this string this to ""%Id%d%d%%%%%"" (U+0025 PERCENT SIGN) you do NOT need to escape it with another ""%
"
"%d%%
","٪%IdNot Applicable
"
"N/A
","مربوط نیست
"
"%d:%02d
","%Id:%I02d
"
"Congratulations, you have won!
","تبریک، شما بردید!
"
"There are no more moves
","دیگر نمی‌شود حرکتی کرد
"
"Main game:
","بازی اصلی:
"
"Card games:
","بازی‌های کارتی:
"
"Card themes:
","تم‌های کارت:
"
"About AisleRiot
","درباره اِیل‌رایِت
"
"AisleRiot provides a rule-based solitaire card engine that allows many different games to be played.
","اِیل‌رایِت یک موتور قانونی برای کارت بازی یک نفره ارائه می‌کند که انجام بازی‌های متفاوتی را ممکن می‌سازد.
"
"translator-credits
","آرش موسوی <mousavi\.arash\@gmail\.com> روزبه پورنادر <roozbeh\@farsiweb\.info> بهداد پورنادر <behdad\.p\@gmail\.com> الناز سربر <elnaz\@farsiweb\.info> میلاد زکریا <meelad\@farsiweb\.info>
"
"GNOME Games web site
","پایگاه وب بازی‌های گنوم
"
"Play “%s”
","بازی کردن «%s»
"
"Display cards with “%s” card theme
","نمایش کارت‌ها با تم «%s»
"
"A scheme exception occurred
","یک استثنا شِما رُخ داد.
"
"Please report this bug to the developers.
","لطفا این اشکال را به توسعه‌دهندگان اطلاع دهید.
"
"_Don't report
","_گزارش نکن
"
"_Report
","_گزارش
"
"_Game
","_بازی
"
"_View
","_نما
"
"_Control
","_کنترل
"
"_Help
","_راهنما
"
"Start a new game
","شروع بازی جدید
"
"Restart the game
","شروع مجدد بازی
"
"_Select Game…
","_انتخاب بازی
"
"Play a different game
","انجام یک بازی دیگر
"
"_Recently Played
","_به‌تازگی بازی شده
"
"S_tatistics
","آ_مار
"
"Show gameplay statistics
","نمایش آمار بازی
"
"Close this window
","بستن این پنجره
"
"Undo the last move
","برگرداندن آخرین حرکت
"
"Redo the undone move
","دوباره‌ی حرکت برگردان
"
"Deal next card or cards
","معامله کارت یا کارت‌های بعدی
"
"Get a hint for your next move
","گرفتن راهنمایی برای حرکت بعدی‌تان
"
"View help for Aisleriot
","نمایش راهنمای اِیل‌رایِت
"
"View help for this game
","نمایش راهنمای این بازی
"
"About this game
","درباره‌ی این بازی
"
"Install card themes…
","نصب تم کارت‌ها...
"
"Install new card themes from the distribution packages repositories
","از مخازن بسته‌های توزیع برای نصب تم‌های جدید کارت استفاده کنید
"
"_Card Style
","_سبک کارت
"
"_Toolbar
","ن_وار ابزار
"
"Show or hide the toolbar
","نشان دادن یا مخفی کردن نوار ابزار
"
"_Statusbar
","_نوار وضعیت
"
"Show or hide statusbar
","نمایش یا مخفی کردن نواروضعیت
"
"_Click to Move
","برای _حرکت جابه‌‌جایی کلیک کنید
"
"Pick up and drop cards by clicking
","با کلیک کردن کارت‌ها را بکشید و بردارید
"
"_Sound
","_صدا
"
"Whether or not to play event sounds
","این که صدای رویدادها پخش شود یا نه
"
"_Animations
","_پویانمایی‌ها
"
"Whether or not to animate card moves
","این که حرکت‌های کارت‌ها پویانمایی شود یا خیر
"
"Score:
","امتیاز:
"
"Time:
","زمان:
"
"Cannot start the game “%s”
","نمی‌توان بازی «%s» را شروع کردن
"
"Aisleriot cannot find the last game you played.
","نمی‌توان آخرین بازی انجام شده را پیدا کرد.
"
"This usually occurs when you run an older version of Aisleriot which does not have the game you last played. The default game, Klondike, is being started instead.
","این اتفاق غالبا زمانی رُخ می‌دهد که شما از نسخه‌ی قدیمی اِیل‌رایِت استفاده می‌کند و بازی‌ای که آخرین بار آن را انجام داده‌اید در آن نبوده. بازی پیش‌فرض، کلاندایک، به جای آن شروع می‌شود.
"
"Base Card: ~a
","کارت پایه: ~a
"
"Base Card: Ace
","کارت پایه: آس
"
"Base Card: Jack
","کارت پایه: سرباز
"
"Base Card: Queen
","کارت پایه: بی‌بی
"
"Base Card: King
","کارت پایه: شاه
"
"Stock left:
","موجودی باقی‌مانده:
"
"Stock left: 0
","موجودی باقی‌مانده: ۰
"
"Deal more cards
","پخش کارت‌های بیشتر
"
"Try rearranging the cards
","بازآرایی کارت‌ها را امتحان کنید.
"
"Unknown color
","رنگ نامعلوم
"
"the black joker
","ژوکر سیاه
"
"the red joker
","ژوکر قرمز
"
"the ace of clubs
","آس خاج
"
"the two of clubs
","دو خاج
"
"the three of clubs
","سه خاج
"
"the four of clubs
","چهار خاج
"
"the five of clubs
","پنج خاج
"
"the six of clubs
","شش خاج
"
"the seven of clubs
","هفت خاج
"
"the eight of clubs
","هشت خاج
"
"the nine of clubs
","نه خاج
"
"the ten of clubs
","ده خاج
"
"the jack of clubs
","سرباز خاج
"
"the queen of clubs
","بی‌بی خاج
"
"the king of clubs
","شاه خاج
"
"the unknown card
","کارت نامعلوم
"
"the ace of spades
","آس پیک
"
"the two of spades
","دو پیک
"
"the three of spades
","سه پیک
"
"the four of spades
","چهار پیک
"
"the five of spades
","پنج پیک
"
"the six of spades
","شش پیک
"
"the seven of spades
","هفت پیک
"
"the eight of spades
","هشت پیک
"
"the nine of spades
","نه پیک
"
"the ten of spades
","ده پیک
"
"the jack of spades
","سرباز پیک
"
"the queen of spades
","بی‌بی پیک
"
"the king of spades
","شاه پیک
"
"the ace of hearts
","آس دل
"
"the two of hearts
","دو دل
"
"the three of hearts
","سه دل
"
"the four of hearts
","چهار دل
"
"the five of hearts
","پنج دل
"
"the six of hearts
","شش دل
"
"the seven of hearts
","هفت دل
"
"the eight of hearts
","هشت دل
"
"the nine of hearts
","نه دل
"
"the ten of hearts
","ده دل
"
"the jack of hearts
","سرباز دل
"
"the queen of hearts
","بی‌بی دل
"
"the king of hearts
","شاه دل
"
"the ace of diamonds
","آس خشت
"
"the two of diamonds
","دو خشت
"
"the three of diamonds
","سه خشت
"
"the four of diamonds
","چهار خشت
"
"the five of diamonds
","پنج خشت
"
"the six of diamonds
","شش خشت
"
"the seven of diamonds
","هفت خشت
"
"the eight of diamonds
","هشت خشت
"
"the nine of diamonds
","نه خشت
"
"the ten of diamonds
","ده خشت
"
"the jack of diamonds
","سرباز خشت
"
"the queen of diamonds
","بی‌بی خشت
"
"the king of diamonds
","شاه خشت
"
"Move ~a onto the foundation.
","انتقال ~a به پایه
"
"Move ~a onto an empty foundation slot.
","انتقال ~a به یک پایه‌ی خالی.
"
"Move ~a onto the tableau.
","انتقال ~a بر روی تابلو.
"
"Move ~a onto an empty tableau slot.
","انتقال ~a بر روی یک خانه خالی تابلو.
"
"Move ~a onto the reserve.
","انتقال ~a بر روی ذخیره.
"
"Move ~a onto an empty reserve slot.
","جابه‌جایی ~a به یک جایگاه ذخیره خالی.
"
"Move ~a onto an empty edge slot.
","جابه‌جایی ~a به یک جایگاه زاویه‌ای خالی.
"
"Move ~a onto an empty corner slot.
","جابه‌جایی ~a به یک جایگاه گوشه خالی.
"
"Move ~a onto an empty top slot.
","جابه‌جایی ~a به یک جایگاه بالایی خالی.
"
"Move ~a onto an empty bottom slot.
","جابه‌جایی ~a به یک جایگاه پایینی خالی.
"
"Move ~a onto an empty left slot.
","جابه‌جایی ~a به یک جایگاه چپ خالی.
"
"Move ~a onto an empty right slot.
","جابه‌جایی ~a به یک جایگاه راست خالی.
"
"Move ~a onto an empty slot.
","انتقال ~a بر روی یک خانه خالی.
"
"Move ~a onto the black joker.
","انتقال ~a بر روی ژوکر سیاه.
"
"Move ~a onto the red joker.
","انتقال ~a بر روی ژوکر قرمز.
"
"Move ~a onto the ace of clubs.
","انتقال ~a بر روی آس خاج.
"
"Move ~a onto the two of clubs.
","انتقال ~a بر روی دو خاج.
"
"Move ~a onto the three of clubs.
","انتقال ~a بر روی سه خاج.
"
"Move ~a onto the four of clubs.
","انتقال ~a بر روی چهار خاج.
"
"Move ~a onto the five of clubs.
","انتقال ~a بر روی پنج خاج.
"
"Move ~a onto the six of clubs.
","انتقال ~a بر روی شش خاج.
"
"Move ~a onto the seven of clubs.
","انتقال ~a بر روی هفت خاج.
"
"Move ~a onto the eight of clubs.
","انتقال ~a بر روی هشت خاج.
"
"Move ~a onto the nine of clubs.
","انتقال ~a بر روی نه خاج.
"
"Move ~a onto the ten of clubs.
","انتقال ~a بر روی ده خاج.
"
"Move ~a onto the jack of clubs.
","انتقال ~a بر روی سرباز خاج.
"
"Move ~a onto the queen of clubs.
","انتقال ~a بر روی بی‌بی خاج.
"
"Move ~a onto the king of clubs.
","انتقال ~a بر روی شاه خاج.
"
"Move ~a onto the unknown card.
","انتقال ~a بر روی کارت ناشناس.
"
"Move ~a onto the ace of spades.
","انتقال ~a بر روی آس پیک.
"
"Move ~a onto the two of spades.
","انتقال ~a بر روی دو پیک.
"
"Move ~a onto the three of spades.
","انتقال ~a بر روی سه پیک.
"
"Move ~a onto the four of spades.
","انتقال ~a بر روی چهار پیک.
"
"Move ~a onto the five of spades.
","انتقال ~a بر روی پنج پیک.
"
"Move ~a onto the six of spades.
","انتقال ~a بر روی شش پیک.
"
"Move ~a onto the seven of spades.
","انتقال ~a بر روی هفت پیک.
"
"Move ~a onto the eight of spades.
","انتقال ~a بر روی هشت پیک.
"
"Move ~a onto the nine of spades.
","انتقال ~a بر روی نه پیک.
"
"Move ~a onto the ten of spades.
","انتقال ~a بر روی ده پیک.
"
"Move ~a onto the jack of spades.
","انتقال ~a بر روی سرباز پیک.
"
"Move ~a onto the queen of spades.
","انتقال ~a بر روی بی‌بی پیک.
"
"Move ~a onto the king of spades.
","انتقال ~a بر روی شاه پیک.
"
"Move ~a onto the ace of hearts.
","انتقال ~a بر روی آس دل.
"
"Move ~a onto the two of hearts.
","انتقال ~a بر روی دو دل.
"
"Move ~a onto the three of hearts.
","انتقال ~a بر روی سه دل.
"
"Move ~a onto the four of hearts.
","انتقال ~a بر روی چهار دل.
"
"Move ~a onto the five of hearts.
","انتقال ~a بر روی پنج دل.
"
"Move ~a onto the six of hearts.
","انتقال ~a بر روی شش دل.
"
"Move ~a onto the seven of hearts.
","انتقال ~a بر روی هفت دل.
"
"Move ~a onto the eight of hearts.
","انتقال ~a بر روی هشت دل.
"
"Move ~a onto the nine of hearts.
","انتقال ~a بر روی نه دل.
"
"Move ~a onto the ten of hearts.
","انتقال ~a بر روی ده دل.
"
"Move ~a onto the jack of hearts.
","انتقال ~a بر روی سرباز دل.
"
"Move ~a onto the queen of hearts.
","انتقال ~a بر روی بی‌بی دل.
"
"Move ~a onto the king of hearts.
","انتقال ~a بر روی شاه دل.
"
"Move ~a onto the ace of diamonds.
","انتقال ~a بر روی آس خشت.
"
"Move ~a onto the two of diamonds.
","انتقال ~a بر روی دو خشت.
"
"Move ~a onto the three of diamonds.
","انتقال ~a بر روی سه خشت.
"
"Move ~a onto the four of diamonds.
","انتقال ~a بر روی چهار خشت.
"
"Move ~a onto the five of diamonds.
","انتقال ~a بر روی پنج خشت.
"
"Move ~a onto the six of diamonds.
","انتقال ~a بر روی شش خشت.
"
"Move ~a onto the seven of diamonds.
","انتقال ~a بر روی هفت خشت.
"
"Move ~a onto the eight of diamonds.
","انتقال ~a بر روی هشت خشت.
"
"Move ~a onto the nine of diamonds.
","انتقال ~a بر روی نه خشت.
"
"Move ~a onto the ten of diamonds.
","انتقال ~a بر روی ده خشت.
"
"Move ~a onto the jack of diamonds.
","انتقال ~a بر روی سرباز خشت.
"
"Move ~a onto the queen of diamonds.
","انتقال ~a بر روی بی‌بی خشت.
"
"Move ~a onto the king of diamonds.
","انتقال ~a بر روی شاه خشت.
"
"Remove the black joker.
","ژوکر سیاه
"
"Remove the red joker.
","ژوکر قرمز
"
"Remove the ace of clubs.
","حذف ده خاج.
"
"Remove the two of clubs.
","حذف ده خاج.
"
"Remove the three of clubs.
","حذف ده خاج.
"
"Remove the four of clubs.
","حذف ده خاج.
"
"Remove the five of clubs.
","حذف ده خاج.
"
"Remove the six of clubs.
","حذف شاه خاج.
"
"Remove the seven of clubs.
","حذف ده خاج.
"
"Remove the eight of clubs.
","حذف شاه خاج.
"
"Remove the nine of clubs.
","حذف شاه خاج.
"
"Remove the ten of clubs.
","حذف ده خاج.
"
"Remove the jack of clubs.
","حذف شاه خاج.
"
"Remove the queen of clubs.
","حذف ده خاج.
"
"Remove the king of clubs.
","حذف شاه خاج.
"
"Remove the unknown card.
","کارت نامعلوم
"
"Remove the ace of spades.
","حذف ده پیک.
"
"Remove the two of spades.
","حذف ده پیک.
"
"Remove the three of spades.
","حذف ده پیک.
"
"Remove the four of spades.
","حذف ده پیک.
"
"Remove the five of spades.
","حذف ده پیک.
"
"Remove the six of spades.
","حذف شاه پیک.
"
